,lambdas
0,0.6486958784812135
1,0.6390775654927585
2,0.6377461401782508
3,0.6369719641711371
4,0.6415167672279265
5,0.6412250836207554
6,0.6459432076330848
7,0.6473474114969165
8,0.6440655277619509
9,0.6461497245721489
10,0.648282206421832
11,0.6490334768173985
12,0.6484738357779813
13,0.6475155241613544
14,0.6477942051594309
15,0.6491735809169452
16,0.6478744914828297
17,0.6500529812089745
18,0.6503929340759161
19,0.6514274747490514
20,0.6510812374010652
21,0.6531163644004538
22,0.6529618184517956
23,0.655354790690263
24,0.6562505395503138
25,0.6552876364848269
26,0.6552521520248852
27,0.6571472395464631
28,0.6555611555734303
29,0.6569239827049794
30,0.6600898394875784
31,0.6590316942181045
32,0.6605630627321637
33,0.6594989307707355
34,0.6619637554485769
35,0.6626878411250055
36,0.6640231323903126
37,0.6654875534005152
38,0.6643994119807496
39,0.6632291130185464
40,0.667531689863653
41,0.6671336648249445
42,0.6669594933660272
43,0.6654455614045992
44,0.6643031377678608
45,0.6684506129966841
46,0.6704571091203015
47,0.6696611699936992
48,0.6706225131930111
49,0.6723479876455238
50,0.6707235113066171
51,0.6724996982280683
52,0.6734569227945547
53,0.6752172064409427
54,0.6738645652122555
55,0.6760732521118615
56,0.6747652891462237
57,0.6744741811455011
58,0.6774516550519083
59,0.6762346198021596
60,0.6770544468173044
61,0.6789069687986934
62,0.680464572403204
63,0.6824998662385029
64,0.6815003477812388
65,0.6812361463474166
66,0.6818115926523256
67,0.6820729577514105
68,0.6826976796806542
69,0.6834063029779789
70,0.6841282804002016
71,0.6825834232125523
72,0.6854585699856759
73,0.6866529043800987
74,0.6825384016215267
75,0.68603662386946
76,0.6888408003440593
77,0.6861881028985588
78,0.687432828147243
79,0.6912779175537257
80,0.6898104028063704
81,0.6890383032013054
82,0.6905035521182681
83,0.6928514504977359
84,0.6897385459682513
85,0.690895819637193
86,0.690137017880293
87,0.6896642676137947
88,0.6891125613711381
89,0.691718466144255
90,0.6928074192497278
91,0.6923194844523485
92,0.6947108306548238
93,0.6953853115009264
94,0.6955276282870007
95,0.696430589079253
96,0.697063809660434
97,0.6964618722464383
98,0.6966696218242662
99,0.6967698879447681
100,0.6975659475781167
101,0.6963249256122391
102,0.6991029638748012
103,0.697700454387902
104,0.6977999939115961
105,0.6979959181442673
106,0.7002937884726541
107,0.6987067198361208
108,0.6987171081582508
109,0.7002812656448517
110,0.7002318518803993
111,0.6992723447232558
112,0.7022721134085489
113,0.7000933268138553
114,0.7030992435205526
115,0.7035540896545255
116,0.7017597824060307
117,0.7025717475767578
118,0.7015758574713573
119,0.7041991514648839
120,0.7026550826787379
121,0.7039569397607955
122,0.7058099700500976
123,0.7077057775142571
124,0.7056013720871205
125,0.7064617693392422
126,0.7065905984228699
127,0.7057494671259367
128,0.7031509814513798
129,0.7070908283896834
130,0.7077746438614833
131,0.7046945284912252
132,0.7080301830491744
133,0.7076961905496864
134,0.7082100807946928
135,0.7072287614520514
136,0.7071988327164132
137,0.7059477185833816
138,0.7069108588855397
139,0.7082483298313336
140,0.7064605585232951
141,0.7078028393884731
142,0.7073082906702943
143,0.7100924921921599
144,0.707381464527328
145,0.7066470922107646
146,0.7074433591392724
147,0.7093055276998559
148,0.7097319545683757
149,0.7102116715400875
150,0.7088312631828971
151,0.7095256393448531
152,0.7113321682601691
153,0.708767419342591
154,0.7071771165126537
155,0.7073613997308731
156,0.7100604372570563
157,0.7069071274774049
158,0.7090619338478986
159,0.7077280280234471
160,0.7097216437855188
161,0.7091464649898066
162,0.7068530333319334
163,0.7098527532686746
164,0.708437167309251
165,0.707356592861365
166,0.7074496320742176
167,0.7091086656678792
168,0.7075294403380672
169,0.7106105083523423
170,0.7107617722192336
171,0.7106377771662852
172,0.7062200987650666
173,0.7062510334276786
174,0.7089668949687805
175,0.7077663513492257
176,0.7050792440613662
177,0.70858895825703
178,0.7066850067593233
179,0.7078316623087945
180,0.7061353883673149
181,0.7070279109401839
182,0.7067137727512955
183,0.7059091570416007
184,0.7064002115615166
185,0.7060776317981315
186,0.7022801842409464
187,0.7051905755390486
188,0.7063596914881363
189,0.7047482701206768
190,0.7037446467449082
191,0.7044618325726429
192,0.7044638030724868
193,0.7033917190940318
194,0.7057338000030946
195,0.7025211415633814
196,0.7030726015566716
197,0.69970883304467
198,0.7023218890504964
199,0.7011136178627312
200,0.7007410368648894
201,0.70239028396236
202,0.6997199977445685
203,0.7003496488903633
204,0.7026990344904755
205,0.7015855070526168
206,0.6997035000559949
207,0.69861425778567
208,0.6993446977638818
209,0.6944568750859801
210,0.6943971204646462
211,0.695991074334183
212,0.6943942558031344
213,0.6945634397167098
214,0.6941045815608783
215,0.6953245824646528
216,0.6963282090431548
217,0.695078033406638
218,0.6953937677991413
219,0.6940147323494372
220,0.6919901884143264
221,0.6903344721504984
222,0.6933207502963266
223,0.6915979940325746
224,0.6921118986520676
225,0.6922564121993672
226,0.691603225986572
227,0.6883980854454634
228,0.6888509754344918
229,0.690397598759606
230,0.6874165467097362
231,0.6870371575242713
232,0.6881452379894702
233,0.6874971074486312
234,0.6850689140747428
235,0.6849358299567393
236,0.6870579072292696
237,0.6821151136353384
238,0.6827425094283031
239,0.6827023252521621
240,0.6816526875811882
241,0.6822702270522593
242,0.6803848704208093
243,0.6798206844214764
244,0.6797607080823322
245,0.6784841850563927
246,0.6767713635233553
247,0.6769263050340413
248,0.678059324432029
249,0.6751917899237826
250,0.677286301131324
251,0.675632862340859
252,0.6730141611161908
253,0.672984313171106
254,0.674138674800682
255,0.6695360499092854
256,0.6717770725110914
257,0.6693272527471315
258,0.6700432883657278
259,0.6678352110465471
260,0.667657524513922
261,0.6678272333373655
262,0.6673840253127395
263,0.6642527377359103
264,0.6657880168428971
265,0.6668292121055682
266,0.6641428561226316
267,0.6626452328527738
268,0.6608868025539221
269,0.6608438309521936
270,0.6604849990064433
271,0.662411935830994
272,0.658177903648095
273,0.6592339135599288
274,0.6559046474764879
275,0.6575732375170013
276,0.6545332898197607
277,0.6558131413006194
278,0.654577782983062
279,0.6531540952232096
280,0.653415754795736
281,0.6499440820524747
282,0.6505964564419398
283,0.649750081634616
284,0.6500875144531422
285,0.6491793537425941
286,0.6450178814664417
287,0.6459239732995612
288,0.644619746442261
289,0.6455090377574603
290,0.6461981275939651
291,0.6439432890191733
292,0.6445533014648446
293,0.6438152737402011
294,0.6425465029753584
295,0.6410558975798715
296,0.6394211250887802
297,0.6388417407604893
298,0.6370732485518606
299,0.638429483501314
300,0.6482480033263759
301,0.6954783273973936
302,0.7035894445308986
303,0.7019907878047354
304,0.7029547058127927
305,0.7044615574321683
306,0.7032369445565579
307,0.7008086780553695
308,0.700670432555602
309,0.7031185454169053
310,0.7052953039666489
311,0.7067638601492483
312,0.7048958551579714
313,0.7076543732880464
314,0.7143860668916059
315,0.7158139901046136
316,0.7167437665177708
317,0.713576434919509
318,0.7132915847484462
319,0.7137240837937395
320,0.716096452435416
321,0.7134977183736366
322,0.7119761497919939
323,0.7140794733021077
324,0.7146102065737349
325,0.7143880132748056
326,0.7163061435963409
327,0.7143462917988972
328,0.7165403738885694
329,0.7153594528055298
330,0.7214439311936078
331,0.7209831600837084
332,0.7204158746392081
333,0.7197870161495724
334,0.7199432651626526
335,0.7207195053531669
336,0.7204066784014529
337,0.7227109833381377
338,0.7209839929543699
339,0.7242526395605042
340,0.7214422262073843
341,0.7242178975557522
342,0.7269965821697318
343,0.7272432790249334
344,0.7270613630517746
345,0.7249611832141571
346,0.7263126422461536
347,0.7297659860713401
348,0.7256514477656556
349,0.7309152740807155
350,0.7296944001418563
351,0.7318591425787717
352,0.7310384857440697
353,0.7301001514938293
354,0.7301037125995282
355,0.7320484852198805
356,0.7343701547819271
357,0.7355149602257204
358,0.7350069812475127
359,0.7344693281207473
360,0.7378507117850954
361,0.7359522710204338
362,0.7382018178754969
363,0.7365803732740858
364,0.7362896512279802
365,0.740410687689437
366,0.7394238941342696
367,0.7408088600800536
368,0.7404473053663612
369,0.742651260541085
370,0.7422269244319114
371,0.7422921861016833
372,0.7433597796291445
373,0.7429916666782173
374,0.7457163403027823
375,0.7478111098854282
376,0.7497611920886297
377,0.748381657944692
378,0.7487278882795062
379,0.7527444164482971
380,0.750632994172459
381,0.7505359405662981
382,0.7513205261814232
383,0.7507644448737791
384,0.7519103300688973
385,0.7516398886032872
386,0.754947979680081
387,0.7536959004662845
388,0.7552537158533642
389,0.7556826535701158
390,0.7563529470520461
391,0.751374341775761
392,0.7534558490571871
393,0.7537801819933254
394,0.7562259882237937
395,0.757284505650717
396,0.7598757607245038
397,0.7586551138651182
398,0.7592554253483838
399,0.7579900933407447
400,0.762037214324567
401,0.7602078750810528
402,0.7603509150376491
403,0.7587312356967337
404,0.7640524132908485
405,0.7636553819380455
406,0.7593463116682203
407,0.7645802628519461
408,0.7683918863597631
409,0.763724581195033
410,0.7658496551233337
411,0.7660858002927227
412,0.7688813097610459
413,0.772599372818155
414,0.7719949801815302
415,0.771921837312708
416,0.7772643877162883
417,0.777752120971221
418,0.7760249656133447
419,0.776794356644569
420,0.7792997537311136
421,0.7751407809735916
422,0.782119624814842
423,0.77905463385951
424,0.7832984569050608
425,0.7802603400053791
426,0.7828222464750789
427,0.7812367322158809
428,0.7831437415701831
429,0.7822189882400903
430,0.7861065731757148
431,0.7875118974631976
432,0.7860298456284094
433,0.7945642312799656
434,0.7900641833811163
435,0.7878671502386482
436,0.7899476107744137
437,0.7890185279727855
438,0.7940268327707161
439,0.7969379849652624
440,0.7976775367117754
441,0.7971264382089903
442,0.7993588165205882
443,0.7994047908818493
444,0.8029057454406808
445,0.8069255748627067
446,0.8125894077726631
447,0.809986186628969
448,0.8100988656978904
449,0.8147927606981912
450,0.8149413011542294
451,0.8176581369380157
452,0.8213917930527301
453,0.8196374171762266
454,0.8227336410245916
455,0.8181220995162338
456,0.8268510079158393
457,0.8271233374817578
458,0.8308265182028547
459,0.8363898871585826
460,0.8351553637996754
461,0.8384520737746326
462,0.839215912149639
463,0.8343327802701391
464,0.8414423526476298
465,0.8408598964225419
466,0.84392577135412
467,0.8512751617762246
468,0.8571577964100436
469,0.8563873587908947
470,0.8599184575815731
471,0.8639779557585443
472,0.8730643628556216
473,0.8815772710185473
474,0.8844653147862144
475,0.8936027587311515
476,0.9054383172825973
477,0.9108490583306224
478,0.9235105603162004
479,0.9308492399360053
480,0.9378894151020742
481,0.9412894407708023
482,0.9504490005562737
483,0.9652662637033156
484,0.981627761045461
485,1.02250129997843
486,1.0313326083380916
487,1.096852875529304
488,1.1457394277632782
489,1.1835086590290773
490,1.1952595840555853
491,1.34023380534476
492,1.4653352773800623
493,1.6322447667750244
494,2.363517583947029
495,3.5065822047708535
496,4.598641970244285
497,5.486877683755294
498,7.256299224128393
499,118.27437895802616
